
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:52940        0.0.0.0:0              LISTENING       10768
  TCP    127.0.0.1:52940        127.0.0.1:52962        ESTABLISHED     10768
  TCP    127.0.0.1:52940        127.0.0.1:52967        ESTABLISHED     10768
  TCP    127.0.0.1:52941        0.0.0.0:0              LISTENING       10768
  TCP    127.0.0.1:52944        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:52945        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:52946        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:52949        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:52962        127.0.0.1:52940        ESTABLISHED     12928
  TCP    127.0.0.1:52967        127.0.0.1:52940        ESTABLISHED     9656
  TCP    127.0.0.1:52984        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:52989        0.0.0.0:0              LISTENING       4212
  TCP    127.0.0.1:52993        0.0.0.0:0              LISTENING       4212
  TCP    127.0.0.1:52993        127.0.0.1:52998        ESTABLISHED     4212
  TCP    127.0.0.1:52993        127.0.0.1:52999        ESTABLISHED     4212
  TCP    127.0.0.1:52993        127.0.0.1:53000        ESTABLISHED     4212
  TCP    127.0.0.1:52993        127.0.0.1:53006        ESTABLISHED     4212
  TCP    127.0.0.1:52994        0.0.0.0:0              LISTENING       15464
  TCP    127.0.0.1:52994        127.0.0.1:53027        ESTABLISHED     15464
  TCP    127.0.0.1:52995        0.0.0.0:0              LISTENING       15464
  TCP    127.0.0.1:52998        127.0.0.1:52993        ESTABLISHED     15464
  TCP    127.0.0.1:52999        127.0.0.1:52993        ESTABLISHED     15464
  TCP    127.0.0.1:53000        127.0.0.1:52993        ESTABLISHED     15464
  TCP    127.0.0.1:53004        0.0.0.0:0              LISTENING       15464
  TCP    127.0.0.1:53004        127.0.0.1:53026        ESTABLISHED     15464
  TCP    127.0.0.1:53006        127.0.0.1:52993        ESTABLISHED     15464
  TCP    127.0.0.1:53017        0.0.0.0:0              LISTENING       6164
  TCP    127.0.0.1:53017        127.0.0.1:53018        ESTABLISHED     6164
  TCP    127.0.0.1:53017        127.0.0.1:53021        ESTABLISHED     6164
  TCP    127.0.0.1:53018        127.0.0.1:53017        ESTABLISHED     4212
  TCP    127.0.0.1:53021        127.0.0.1:53017        ESTABLISHED     10104
  TCP    127.0.0.1:53026        127.0.0.1:53004        ESTABLISHED     4212
  TCP    127.0.0.1:53027        127.0.0.1:52994        ESTABLISHED     4212
  TCP    127.0.0.1:53052        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:53757        127.0.0.1:52934        ESTABLISHED     10768
  TCP    127.0.0.1:55316        0.0.0.0:0              LISTENING       10928
  TCP    127.0.0.1:55402        0.0.0.0:0              LISTENING       9580
  TCP    127.0.0.1:55627        0.0.0.0:0              LISTENING       9580
  TCP    127.0.0.1:57402        0.0.0.0:0              LISTENING       5696
  TCP    127.0.0.1:57402        127.0.0.1:58280        ESTABLISHED     5696
  TCP    127.0.0.1:58263        127.0.0.1:58264        TIME_WAIT       0
  TCP    127.0.0.1:58280        127.0.0.1:57402        ESTABLISHED     16188
  TCP    192.168.1.105:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.105:52532    45.38.56.239:80        ESTABLISHED     12760
  TCP    192.168.1.105:56712    34.54.84.110:443       ESTABLISHED     10768
  TCP    192.168.1.105:56737    34.54.84.110:443       ESTABLISHED     15464
  TCP    192.168.1.105:58279    172.188.155.25:443     ESTABLISHED     12760
  TCP    192.168.1.105:58537    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58540    13.107.5.93:443        TIME_WAIT       0
  TCP    192.168.1.105:58545    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58549    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58555    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58558    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58563    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58570    156.59.138.40:443      ESTABLISHED     12760
  TCP    192.168.1.105:58571    8.212.14.83:443        ESTABLISHED     12760
  TCP    192.168.1.105:58581    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58587    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58590    172.64.155.209:443     TIME_WAIT       0
  TCP    192.168.1.105:58593    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58596    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58599    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58607    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58612    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58616    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58623    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58627    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58634    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58641    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58645    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58650    172.64.155.209:443     TIME_WAIT       0
  TCP    192.168.1.105:58651    3.173.21.63:443        ESTABLISHED     14396
  TCP    192.168.1.105:58654    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58655    156.59.130.177:443     ESTABLISHED     14396
  TCP    192.168.1.105:58661    20.184.175.4:443       ESTABLISHED     16188
  TCP    192.168.1.105:58662    104.18.21.246:443      TIME_WAIT       0
  TCP    192.168.1.105:58668    104.18.21.246:443      ESTABLISHED     9580
  TCP    [::]:135               [::]:0                 LISTENING       1048
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:47821             [::]:0                 LISTENING       9580
  TCP    [::]:47822             [::]:0                 LISTENING       9580
  TCP    [::]:49664             [::]:0                 LISTENING       1004
  TCP    [::]:49665             [::]:0                 LISTENING       828
  TCP    [::]:49666             [::]:0                 LISTENING       1868
  TCP    [::]:49667             [::]:0                 LISTENING       1208
  TCP    [::]:49668             [::]:0                 LISTENING       3656
  TCP    [::]:49671             [::]:0                 LISTENING       972
  TCP    [::1]:9100             [::]:0                 LISTENING       12532
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:53229  [2603:1061:14:169::1]:443  CLOSE_WAIT      15976
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:55878  [2001:df0:13:1::13c]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:57426  [2606:4700:4403::ac40:94eb]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:57586  [2603:1040:a06:6::]:443  ESTABLISHED     4092
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58062  [2001:4860:4840:400::]:443  ESTABLISHED     10768
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58277  [2404:6800:4003:c00::bc]:5228  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58278  [2600:1900:4110:86f::]:80  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58288  [2001:4860:4840:400::]:443  ESTABLISHED     15464
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58305  [2606:4700:4408::ac40:9bd1]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58306  [2001:4860:4826:400::]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58408  [2405:4800:ae00:1b02::1720:4a91]:443  ESTABLISHED     16188
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58442  [2405:4800:ae00:1b01::636]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58443  [2001:ee0:2800:107::1d]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58444  [2001:ee0:37f:fff3::351]:443  ESTABLISHED     14396
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58499  [2606:4700::6812:1dea]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58509  [2606:4700::6812:ccd]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58510  [2606:4700::6812:ccd]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58552  [2606:4700::6812:1dea]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58561  [2606:4700:4408::ac40:9bd1]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58562  [2606:4700::6812:1dea]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58566  [2606:4700:4403::6812:2053]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58567  [2606:4700:4400::6812:2992]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58568  [2600:9000:2369:ce00:1e:9215:9ac0:93a1]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58572  [2600:9000:2369:ec00:4:22a7:afc0:93a1]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58573  [2600:9000:213a:9400:1:91db:35c0:93a1]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58574  [2a06:98c1:3108::6812:2bae]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58575  [2a06:98c1:3102::6812:2a3b]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58576  [2600:9000:269c:d200:5:c858:c0:93a1]:443  ESTABLISHED     12760
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58582  [2606:4700:4408::ac40:9bd1]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58604  [2606:4700:20::681a:e12]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58608  [2606:4700:4408::ac40:9bd1]:443  ESTABLISHED     9424
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58619  [2606:4700::6812:1dea]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58620  [2606:4700::6812:1dea]:443  ESTABLISHED     17176
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58626  [2606:4700::6812:1dea]:443  TIME_WAIT       0
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58628  [2606:4700::6812:1dea]:443  ESTABLISHED     14016
  TCP    [2405:4802:91cd:9140:98f7:8a62:ce0d:1e00]:58663  [2001:4860:4845:400::]:443  ESTABLISHED     15464
  UDP    0.0.0.0:500            *:*                                    4236
  UDP    0.0.0.0:3702           *:*                                    2672
  UDP    0.0.0.0:3702           *:*                                    2672
  UDP    0.0.0.0:4500           *:*                                    4236
  UDP    0.0.0.0:5353           *:*                                    3152
  UDP    0.0.0.0:5353           *:*                                    14396
  UDP    0.0.0.0:5353           *:*                                    13932
  UDP    0.0.0.0:5353           *:*                                    12760
  UDP    0.0.0.0:5353           *:*                                    14396
  UDP    0.0.0.0:5353           *:*                                    16180
  UDP    0.0.0.0:5353           *:*                                    12760
  UDP    0.0.0.0:5353           *:*                                    13932
